"CONTENTS_SEQ","CONTENTS_TITLE","CONTENTS_SYNOPSIS","CONTENTS_GENRE","AGE_RATING","RELEASE_YEAR","RATING","POSTER_IMG","DIRECTOR","CAST","OTT"
"1","007 노 타임 투 다이","<007 카지노 로얄>부터 함께해 온 다니엘 크레이그의 제임스 본드 은퇴작이다. <나이브스 아웃>에서 다니엘 크레이그와 함께 출연했던 아나 디 아르마스가 본드걸로 등장하고, <보헤미안 랩소디>의 라미 말렉이 메인 빌런 ’사핀‘ 역을 맡았다. 코로나 19로 개봉이 1년 이상 연기되었으며, 한국에서 전 세계 최초로 개봉한다.","액션, 스릴러","12세 이상 관람가","2021","3.1","https://file.kinolights.com/m/content_poster/202307/12/fae77681-2ba2-4861-bc67-88c3731ebe19.webp","캐리 후쿠나가","다니엘 크레이그, 라미 말렉","쿠팡플레이"
"2","007 카지노 로얄","아직 영국첩보국 MI6의 평범한 요원이던 제임스 본드. 체코에서의 위험한 암살을 마치고 007로 승격된 그에게 첫번째 임무가 주어진다. 국제 테러조직의 자금줄로 알려진 수수께끼의 인물 르쉬프의 배후를 밝혀내는 것. 마다가스카에서 작전을 수행하던 007은 르쉬프가 몬테카를로의 ‘카지노 로얄’에서 무제한 배팅이 가능한 ‘홀뎀포커’를 통해 대규모 테러자금을 모으려는 음모를 밝혀내는데…
MI6의 상관 M는 제임스 본드의 위장 잠입과 자금 관리를 위해 베스퍼 그린를 파견하고, 서로의 능력을 의심하던 두 사람 사이에 는 팽팽한 긴장감이 감돌지만, 테러조직의 위협을 함께 겪으며 차츰 애틋한 연인관계로 발전한다. 하지만 007 때문에 신형항공기 폭파를 통해 주가를 조작하려던 계획이 어긋나면서 테러조직의 압박으로 다급해진 르쉬프는 극비 프로젝트 ‘엘립시스’를 가동시키기에 이르는데…","액션, 스릴러","15세 이상 관람가","2006","3.7","https://file.kinolights.com/m/content_poster/202307/12/0c9e1d75-aa4a-49f1-af49-beee13a0a0c6.webp","마틴 캠벨","다니엘 크레이그, 에바 그린","쿠팡플레이"
"3","12 솔져스","전 세계가 목격한 사상 최악의 테러 발생 15일 후, 미치는 사랑하는 가족을 뒤로 한 채 비공식 작전 수행을 위한 11명의 최정예 요원들과 함께 탈레반이 점거한 아프가니스탄에 도착한다. 그곳에서 그들을 기다리고 있는 것은 5만 명의 적군과 도저히 승리할 수 없는 불가능한 전쟁뿐이다!","드라마, 액션","15세 이상 관람가","2018","3","https://file.kinolights.com/m/content_poster/202307/12/9146be31-0356-4bf0-a61f-c4d62388c5fd.webp","니콜라이 퓰시","크리스 헴스워스, 마이클 섀넌","넷플릭스"
"4","12명의 성난 사람들","당신의 동의 한 표로 목숨을 살릴 수도, 죽일 수도 있다면? 슬럼가의 한 소년이 친아버지를 살해한 사건이 발생했다. 목격자도, 사건 발생 시간과 증언도 모두 일치하는 명백한 살인. 12명의 배심원들은 원만하게 유죄로 만장일치 되는 듯 싶더니, 유일하게 무죄를 주장하는 배심원 8번의 의미심장한 한 마디에 하나 둘 동요하기 시작하는데...
베를린국제영화제 <황금곰상> 수상작.","드라마","15세 이상 관람가","1957","4.4","https://file.kinolights.com/m/content_poster/202307/12/d2cab632-f26d-4867-a91a-2cafa7680dbc.webp","시드니 루멧","마틴 발삼, 존 피들러","왓챠"
"5","13시간","2012년 9월 11일 리비아에서 끔찍한 테러 사건이 발생한다. 벵가지 소재 미국 영사관에 총기와 수류탄을 든 수십 명의 무장 괴한들이 침입하는 충격적인 사건이 벌어진 것. 벵가지에서 비밀리에 작전을 수행하고 있던 CIA를 보호하기 위해 파견된 6명의 민간 용병들은 남아있는 36명의 목숨을 구하기 위해 일촉즉발의 구출작전에 나서게 되는데…","드라마, 액션, 스릴러","15세 이상 관람가","2016","3.1","https://file.kinolights.com/m/content_poster/202307/12/e903c261-b5a6-4f40-847d-70a5ca300d71.webp","마이클 베이","존 크래신스키, 파블로 쉬레이버","넷플릭스"
"6","1917","제1차 세계대전이 한창인 1917년. 독일군에 의해 모든 통신망이 파괴된 상황 속에서 영국군 병사 스코필드와 블레이크에게 하나의 미션이 주어졌다. 함정에 빠진 영국군 부대의 수장 매켄지 중령에게 에린무어 장군의 공격 중지 명령을 전하는 것! 둘은 1600명의 아군과 블레이크의 형을 구하기 위해 전쟁터 한복판을 가로지르며 사투를 이어가는데…","드라마","15세 이상 관람가","2019","4.2","https://file.kinolights.com/m/content_poster/202307/12/5e876dbb-0c3e-4f43-9bf6-a778801b1fb3.webp","샘 멘데스","조지 맥케이, 딘-찰스 채프먼","쿠팡플레이"
"7","1984","오세아니아 지도자들은 국민들을 지배하기 위해 대형당을 조직해 사람들을 통제 감시한다. 스미스(존 허트)는 기록부에 근무하며 신문기사를 수정하는 사람으로 현재의 일을 당에서 원하는 대로 글을 수정한다. 그런데 대형당의 간부 오브라이언(리차드 버튼)은 스미스를 면밀하게 감시한 끝에 그가 사상죄를 범한 것을 알고 체포 심문하게 된다. 대형당의 당칙은 불순분자로 체포한 이들을 사상적으로 철저하게 복종하게 만든 후 그 사람이 사상적으로 완전 무장 되었다고 여겨지면 그때 사형을 시키는 오직 죽음 뿐인 당칙하에 그 모든 조직을 움직인다.","드라마, 로맨스, 스릴러","청소년 관람불가","1984","3.2","https://file.kinolights.com/m/content_poster/202307/12/552cc35f-6860-47a8-b8fe-d4047ade2e74.webp","마이클 래드포드","존 허트, 리차드 버튼","왓챠"
"8","1987","1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다. 증거인멸을 위해 박처장의 주도 하에 경찰은 시신 화장을 요청하지만,사망 당일 당직이었던 최검사는 이를 거부하고 부검을 밀어붙인다. 단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자는 ‘물고문 도중 질식사’를 보도한다. 이에 박처장은 조반장등 형사 둘만 구속시키며 사건을 축소하려 한다. 한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희에게 위험한 부탁을 하게 되는데…","드라마, 스릴러","15세 이상 관람가","2017","3.9","https://file.kinolights.com/m/content_poster/202307/12/fac9ee5d-84d9-490c-9f2c-540cb7baf437.webp","장준환","김윤석, 하정우","넷플릭스, 왓챠, 쿠팡플레이, 티빙"
"9","1승","지도자 생활 평균 승률 10% 미만! 파직, 파면, 파산, 퇴출, 이혼까지 인생에서도 패배 그랜드슬램을 달성 중인 배구선수 출신 감독 우진은 해체 직전의 프로 여자배구단 핑크스톰의 감독을 맡아 달라는 제안을 받는다. 에이스 선수의 이적으로 이른바 떨거지 선수들만 남은 팀 핑크스톰은 새로운 구단주 정원의 등장으로 간신히 살아나지만 실력도, 팀워크도 이미 해체 직전 상태. 그 와중에 막장, 신파는 옵션, 루저들의 성장 서사에 꽂힌 정원은 핑크스톰이 딱 한번이라도 1승을 하면 상금 20억을 풀겠다는 파격 공약을 내세운다. 모두가 주목하는 구단이 됐지만 압도적인 연패 행진을 이어가는 핑크스톰. 패배가 익숙했던 우진도 점점 울화통이 치밀고, 경험도 가능성도 없는 선수들과 함께 단 한번만이라도 이겨보고 싶은 마음이 생기는데...","드라마","12세 이상 관람가","2020","2.8","https://file.kinolights.com/m/content_poster/202412/26/43807bb8-6cab-4c6a-afd9-216499fd1985.webp","신연식","송강호, 박정민","왓챠, 쿠팡플레이"
"10","1초 앞, 1초 뒤","늘 남들보다 한발 앞서는 바람에 입시도, 일상생활도, 연애도 쉽지 않은 우체국 청년 하지메. 남들보다 늘 한발 느린 템포로 사진을 찍으며 느리지만 조용한 삶을 살고 있는 레이카. 어느 날, 미모의 뮤지션 사쿠라코를 만난 하지메는 가까스로 데이트 신청에 성공하지만, 눈을 떠 보니 약속날은 지나가버리고 얼굴까지 새빨갛게 타버린다. 파출소에까지 찾아가 잃어버린 하루를 되찾기 위해 동분서주하던 하지메는 우체국에서 매일 우표를 사가던 레이카가 사라진 하루의 열쇠를 쥐고 있다는 걸 알게 되는데..!","드라마, 로맨스","전체 관람가","2023","3","https://file.kinolights.com/m/content_poster/202405/09/555695be-0590-4d31-acf1-54944a362c95.webp","야마시타 노부히로","오카다 마사키, 키요하라 카야","왓챠, 쿠팡플레이"
