제목,줄거리,장르,연령등급,제작연도,평점,포스터 이미지,OTT
007 노 타임 투 다이,"<007 카지노 로얄>부터 함께해 온 다니엘 크레이그의 제임스 본드 은퇴작이다. <나이브스 아웃>에서 다니엘 크레이그와 함께 출연했던 아나 디 아르마스가 본드걸로 등장하고, <보헤미안 랩소디>의 라미 말렉이 메인 빌런 ’사핀‘ 역을 맡았다. 코로나 19로 개봉이 1년 이상 연기되었으며, 한국에서 전 세계 최초로 개봉한다.","액션, 스릴러",12세 이상 관람가,2021년,3.1,https://file.kinolights.com/m/content_poster/202307/12/fae77681-2ba2-4861-bc67-88c3731ebe19.webp,쿠팡플레이
007 스카이폴,"상관 M의 지시에 따라 현장 요원 이브와 함께 임무를 수행하던 제임스 본드는 달리는 열차 위에서 적과 치열한 결투를 벌이다 M의 명령으로 이브가 쏜 총에 맞고 추락하여 실종된다. 이에 임무가 실패로 끝나자 전세계에서 테러단체에 잠입해 임무를 수행 중이던 비밀 요원들의 정보가 분실되고 MI6는 사상 최대의 위기에 빠진다. 설상가상으로 M의 과거에 얽힌 비밀로 인해 미스터리한 적 실바에게 공격을 받은 MI6는 붕괴 위험에 처하게 되고, 이 사건으로 인해 M은 책임 추궁을 당하며 퇴출 위기에 놓인다. 이때, 죽음의 고비에서 부활한 제임스 본드가 M의 곁으로 다시 돌아온다. 절체절명의 위기에 놓인 MI6와 M을 구하기 위해 제임스 본드는 비밀스러운 여인 세버린을 통해 실바를 찾아간다. 그리고 마침내 사상 최강의 적 실바와 피할 수 없는 대결을 시작하게 되는데...","액션, 스릴러",15세 이상 관람가,2011년,3.8,https://file.kinolights.com/m/content_poster/202307/12/c518f01f-19a0-4691-b58b-522e254f10b4.webp,쿠팡플레이
007 카지노 로얄,"아직 영국첩보국 MI6의 평범한 요원이던 제임스 본드. 체코에서의 위험한 암살을 마치고 007로 승격된 그에게 첫번째 임무가 주어진다. 국제 테러조직의 자금줄로 알려진 수수께끼의 인물 르쉬프의 배후를 밝혀내는 것. 마다가스카에서 작전을 수행하던 007은 르쉬프가 몬테카를로의 ‘카지노 로얄’에서 무제한 배팅이 가능한 ‘홀뎀포커’를 통해 대규모 테러자금을 모으려는 음모를 밝혀내는데…
MI6의 상관 M는 제임스 본드의 위장 잠입과 자금 관리를 위해 베스퍼 그린를 파견하고, 서로의 능력을 의심하던 두 사람 사이에 는 팽팽한 긴장감이 감돌지만, 테러조직의 위협을 함께 겪으며 차츰 애틋한 연인관계로 발전한다. 하지만 007 때문에 신형항공기 폭파를 통해 주가를 조작하려던 계획이 어긋나면서 테러조직의 압박으로 다급해진 르쉬프는 극비 프로젝트 ‘엘립시스’를 가동시키기에 이르는데…","액션, 스릴러",15세 이상 관람가,2006년,3.7,https://file.kinolights.com/m/content_poster/202307/12/0c9e1d75-aa4a-49f1-af49-beee13a0a0c6.webp,쿠팡플레이
12명의 성난 사람들,"당신의 동의 한 표로 목숨을 살릴 수도, 죽일 수도 있다면? 슬럼가의 한 소년이 친아버지를 살해한 사건이 발생했다. 목격자도, 사건 발생 시간과 증언도 모두 일치하는 명백한 살인. 12명의 배심원들은 원만하게 유죄로 만장일치 되는 듯 싶더니, 유일하게 무죄를 주장하는 배심원 8번의 의미심장한 한 마디에 하나 둘 동요하기 시작하는데...
베를린국제영화제 <황금곰상> 수상작.",드라마,15세 이상 관람가,1957년,4.4,https://file.kinolights.com/m/content_poster/202307/12/d2cab632-f26d-4867-a91a-2cafa7680dbc.webp,왓챠
18 어게인,"내가 어쩌다 이렇게 됐을까? 이혼 서류를 내미는 아내, 뒤통수를 때리는 직장 상사. 인생이 그야말로 붕괴 직전인 대영이 다시 돌아간다. 눈부시게 빛났던 18세의 몸으로.","드라마, 로맨스",15세 이상 시청가,2020년,3.5,https://file.kinolights.com/m/content_poster/202307/12/b0cd383c-18de-4c87-92da-1120215d6e49.webp,"넷플릭스, 티빙"
1917,제1차 세계대전이 한창인 1917년. 독일군에 의해 모든 통신망이 파괴된 상황 속에서 영국군 병사 스코필드와 블레이크에게 하나의 미션이 주어졌다. 함정에 빠진 영국군 부대의 수장 매켄지 중령에게 에린무어 장군의 공격 중지 명령을 전하는 것! 둘은 1600명의 아군과 블레이크의 형을 구하기 위해 전쟁터 한복판을 가로지르며 사투를 이어가는데…,드라마,15세 이상 관람가,2019년,4.2,https://file.kinolights.com/m/content_poster/202307/12/5e876dbb-0c3e-4f43-9bf6-a778801b1fb3.webp,쿠팡플레이
1947 보스톤,제2차 세계대전 이후 처음 열린 국제 마라톤 대회인 1947년 보스턴 국제 마라톤 대회에 출전한 우리나라 선수들의 이야기를 그린 영화,드라마,12세 이상 관람가,2020년,3.0,https://file.kinolights.com/m/content_poster/202308/28/c55af475-c9b8-4dca-aee1-28dfdb5f50e5.webp,쿠팡플레이
1987,"1987년 1월, 경찰 조사를 받던 스물두 살 대학생이 사망한다. 증거인멸을 위해 박처장의 주도 하에 경찰은 시신 화장을 요청하지만,사망 당일 당직이었던 최검사는 이를 거부하고 부검을 밀어붙인다. 단순 쇼크사인 것처럼 거짓 발표를 이어가는 경찰. 그러나 현장에 남은 흔적들과 부검 소견은 고문에 의한 사망을 가리키고, 사건을 취재하던 윤기자는 ‘물고문 도중 질식사’를 보도한다. 이에 박처장은 조반장등 형사 둘만 구속시키며 사건을 축소하려 한다. 한편, 교도소에 수감된 조반장을 통해 사건의 진상을 알게 된 교도관 한병용은 이 사실을 수배 중인 재야인사에게 전달하기 위해 조카인 연희에게 위험한 부탁을 하게 되는데…","드라마, 스릴러",15세 이상 관람가,2017년,3.9,https://file.kinolights.com/m/content_poster/202307/12/fac9ee5d-84d9-490c-9f2c-540cb7baf437.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
"1999, 면회","상원, 승준, 민욱은 고교시절 절친 3인방이었으나, 졸업 후 1년이 지난 지금은 좀 소원한 사이다. 상원만 대학에 가고, 승준은 재수생, 민욱은 군인이 되어 처지가 너무 달라져버렸기 때문이다.

그러던 연말 어느 날, 승준과 상원은 집안형편 때문에 자원입대한 친구 민욱을 만나러 강원도 철원으로 떠난다. 우여곡절 끝에 부대에 도착하지만, 승준은 면회시간이 다가오자 자꾸 상원의 눈치만 살핀다. 승준은 민욱의 여자친구 ‘에스더’가 부탁한 이별편지를 민욱에게 전해줘야 했던 것. 결국 둘은 에스더의 편지를 숨기고, 친구 민욱을 위해 몸과 마음과 돈을 바쳐 1박2일을 헌신하기로 결심한다. 그러나 세상물정 모르는 스무 살 세 친구들에게 묘령의 한 여자가 나타나고, 잠자고 있던 그들의 본능이 꿈틀대기 시작하는데…

과연, 세 친구들은 본능을 다스리며 면회를 잘 마무리할 수 있을까?",드라마,15세 이상 관람가,2012년,3.3,https://file.kinolights.com/m/content_poster/202307/12/96a14b57-ac12-49da-81b4-b00d85b4ac3a.webp,"왓챠, 티빙"
19곰 테드,"전세계를 홀린 진정한 짐승남이 온다!
애 같은 남자와 남자 같은 곰의 발칙한 우정!

어린 시절, 왕따에게도 왕따를 당하던 존(마크 월버그)의 소원을 통해 생명을 얻은 곰인형 테드(세스 맥팔레인)! 말하고 걷는 곰인형 테드는 전세계적인 스타가 된다. 그러나 세월에는 장사가 없는 법. 대중에게 잊혀진 스타 테드는 취미 음주가무, 특기 여자 꼬시기인 백수 한량으로 전락한다. 곰인형 외모에 어울리지 않는 음담패설과 욕설을 일삼는 발칙한 곰 테드와 27년째 그와 죽고 못사는 절친 존! 참다 못한 존의 여자친구 로리(밀라 쿠니스)는 남친의 미래를 위해 극약처방을 선택하는데…

“테드, 내 남친 옆에서 좀 꺼져 줄래?”","코미디, 판타지",청소년 관람불가,2012년,3.0,https://file.kinolights.com/m/content_poster/202307/12/f8d0a9c4-0783-4cf5-8231-48bdb76baf78.webp,쿠팡플레이
1급기밀,"공군 전투기 추락, 올해만 3번째 “또 조종사 과실?”
그들이 감추려 했던, 모두가 알아야 하는 대한민국 현재 진행 중인 실화!

국방부 군수본부 항공부품구매과 과장으로 부임한 박대익 중령(김상경)에게 어느 날, 공군 전투기 파일럿 강영우 대위가 찾아와 전투기 부품 공급 업체 선정에 대한 의혹을 제기한다. 이에 대익이 부품구매 서류를 확인하던 중 유독 미국의 에어스타 부품만이 공급되고 있음을 발견한다. 한편 강영우 대위가 전투기 추락 사고를 당하고, 이를 조종사 과실로 만들어 사건을 은폐하는 과정을 지켜본 대익은 큰 충격을 받는다. 그리고 은밀한 뒷조사 끝에 차세대 전투기 도입에 관한 에어스타와 연계된 미 펜타곤과 국방부 간에 진행되고 있는 모종의 계약을 알게 된다. 딸에게만큼은 세상에서 가장 바보 같지만 세상에서 제일 용감한 군인으로 남고 싶은 대익은 [PD25시]의 기자 김정숙(김옥빈)과 손잡고 국익이라는 미명으로 군복 뒤에 숨은 도둑들의 만행을 폭로하기로 결심하는데…

그들이 시작한 전쟁, 절대로 항복하지 않을 것이다!",드라마,12세 이상 관람가,2016년,2.6,https://file.kinolights.com/m/content_poster/202307/12/09928d52-de71-4a7c-b9bf-9b9faa7dce89.webp,티빙
1승,"지도자 생활 평균 승률 10% 미만! 파직, 파면, 파산, 퇴출, 이혼까지 인생에서도 패배 그랜드슬램을 달성 중인 배구선수 출신 감독 우진은 해체 직전의 프로 여자배구단 핑크스톰의 감독을 맡아 달라는 제안을 받는다. 에이스 선수의 이적으로 이른바 떨거지 선수들만 남은 팀 핑크스톰은 새로운 구단주 정원의 등장으로 간신히 살아나지만 실력도, 팀워크도 이미 해체 직전 상태. 그 와중에 막장, 신파는 옵션, 루저들의 성장 서사에 꽂힌 정원은 핑크스톰이 딱 한번이라도 1승을 하면 상금 20억을 풀겠다는 파격 공약을 내세운다. 모두가 주목하는 구단이 됐지만 압도적인 연패 행진을 이어가는 핑크스톰. 패배가 익숙했던 우진도 점점 울화통이 치밀고, 경험도 가능성도 없는 선수들과 함께 단 한번만이라도 이겨보고 싶은 마음이 생기는데...",드라마,12세 이상 관람가,2020년,2.8,https://file.kinolights.com/m/content_poster/202412/26/43807bb8-6cab-4c6a-afd9-216499fd1985.webp,"왓챠, 쿠팡플레이"
2.5차원의 유혹,"리리엘!!! 3차원의 여자에게는 관심 없음! 만화 연구부 부장 오쿠무라는 오늘도 부실에서 혼자 화면 너머에 비친 사랑스러운 2차원 캐릭터 리리엘의 이름을 외치고 있었다...... 그런 오쿠무라를 찾아온 것은 '리리엘이 되고 싶어요'라고 말하는 3차원 여자아이, 아마노 리리사. 그녀는 만화 속에 등장하는 여자아이의 섹시하고 귀여운 '의상'을 아주 좋아했다. 그리고, 오쿠무라에 뒤처지지 않을 정도로 리리엘을 사랑하는 오타쿠였다! 오쿠무라에게 비밀로 해왔던 취미인 코스프레에 대해 말한 리리사는 코스프레 사진과 동영상을 담은 'ROM' 컬렉션을 보여주며 오쿠무라에게 말한다──. '저...... 이걸 만들고 싶어요!!' 둘만 있는 부실에서 시작되는 코스프레 활동! 리리사가 변신한 리리엘은 오쿠무라가 충격을 받을 정도로 진짜 같았는데?! 리리사의 열의에 압도된 오쿠무라도 카메라를 잡는다?! 진지하고 뜨겁게 코스프레와 마주하는 그들이 '뭔가를 열렬하게 사랑하고 있는' 모든 오타쿠들에게 보내는 코스프레 청춘 스토리, 개막!!","코미디, 로맨스, 애니메이션",19세 이상 시청가,2024년,0.0,https://file.kinolights.com/m/content_poster/202407/21/2bd0e18e-e223-4ed3-8591-3362b8bcbe6f.webp,"왓챠, 티빙"
2001 스페이스 오디세이,두 명의 우주인이 우주 곳곳에서 발견되는 의문의 돌기둥을 조사하면서 우주선의 인공지능 컴퓨터와 맞서 싸운다.,드라마,12세 이상 관람가,1968년,4.3,https://file.kinolights.com/m/content_poster/202307/12/40f4f1c7-7c80-498f-9436-e8f7d42b80cf.webp,쿠팡플레이
2012,"고대 마야 문명에서부터 끊임없이 회자되어 온 인류 멸망. 2012년, 저명한 과학자들은 오랜 연구 끝에 실제로 멸망의 시기가 다가오고 있음을 감지하고 각국 정부에 이 사실을 알린다. 그리고 곧 고대인들의 예언대로 전세계 곳곳에서는 지진, 화산폭발, 거대한 해일 등 각종 자연 재해들이 발생해 그 누구도 막을 수 없는 최후의 순간이 도래한다. 한편, 두 아이와 함께 가족 여행을 즐기던 잭슨 커티스는 인류 멸망을 대비하기 위해 진행해 오던 정부의 비밀 계획을 알게 되는데...",액션,12세 이상 관람가,2009년,2.9,https://file.kinolights.com/m/content_poster/202307/12/9696e849-5392-41d3-ac77-ca438a47b5b3.webp,"넷플릭스, 왓챠, 쿠팡플레이"
2046,"첫 번째 사랑 이야기 - 지독히 사랑했기에 다시는 사랑할 수 없는 남자와 절망적인 사랑의 열병에 빠져버린 여자. 기자이자 작가인 차우는 리첸과의 기억을 되살리게 만드는 호텔 2046호에 머무려고 하지만, 그 방에선 묘령의 여인이 스스로 목숨을 끊는 일이 발생해 그 옆방에 투숙하게 된다. 며칠 후, 2046호에 고급콜걸인 바이 링이 투숙하고 차우의 관심을 끌게 된다. 장난처럼 시작된 둘의 관계는 점차 바이 링의 헌신적인 사랑으로 발전하지만 더 이상 아무도 사랑할 수 없는 차우는 끝없이 다른 여자를 탐하며 바이 링에게 육체적인 유희만을 요구한다.
두 번째 사랑 이야기 - 과거의 아픔을 가진 남자와 현실의 아픔을 겪는 여자. 바이 링이 떠난 후 차우는 호텔주인의 딸 왕징웬의 도움을 받아 미래도시 2046에 대한 소설을 쓰기 시작 한다. 왕징웬은 부모의 반대로 사랑하는 남자와 헤어져 몸도 마음도 슬픔의 병을 앓게 된 여자. 차우는 그녀가 남자친구와 다시 만날 수 있도록 도와주면서 그녀와 가까워진다.
세 번째 사랑 이야기 - 사랑의 상처를 가진 남자, 여자… 그리고 그 치유의 과정. 미래의 소설을 쓰면서 자신의 과거를 떠올리게 된 차우는 예전의 기억을 떠올린다. 떠났다가 다시 돌아온 자신을 받아들이지 못하는 도박사 수리첸. 그녀를 회상하던 차우는 동시에, 예전의 그가 그랬던 것처럼 다른 사랑을 돌아볼 여유가 없는 왕징웬에 대해 사랑하는 감정을 가지게 된다. 현실에서 세 번의 이루어지지 않은 사랑을 맞이했던 차우는 소설 속에서 또 다른 아픈 사랑에 대해서 이야기한다.
또 다른 사랑 이야기 - 2046, 그 곳에 가면 그가 잃어버린 사랑을 다시 만날 수 있을까? 소설 속에서 사람들은 몸 속에 마이크로 칩을 장착하고 살아가고, 안드로이드들은 기억력의 부재를 겪는다. 과거에 살고 있는 사람들은 하나 같이 잃어버린 기억을 되찾기 위해 2046을 향하는 열차를 탄다. 하지만 그것이 진실인지는 아무도 모른다. 왜냐하면 그 곳에 갔다가 되돌아온 사람이 아무도 없기 때문이다. 2046으로 가는 기차 안에 서서 일본인 남자 탁은 아름답고 따뜻한 몸을 가진 안드로이드를 만나 사랑에 빠진다. 그녀에게 함께 떠나기를 부탁하지만 그녀는 다른 곳을 쳐다보고 있을 뿐이다. 몸은 그와 함께 있지만 그녀에게 탁의 부탁이 전혀 들리지 않는 것 같다.","드라마, 로맨스",청소년 관람불가,2004년,3.4,https://file.kinolights.com/m/content_poster/202307/12/b27b59bc-81e7-4bf8-b82a-616ca596fbae.webp,"쿠팡플레이, 티빙"
20세기 소녀,"1999년, 단짝 친구가 홀딱 반한 남학생을 친구 대신 관찰해 주기로 한 10대 소녀. 하지만 소녀에게도 예기치 못한 사랑이 찾아온다.","드라마, 로맨스",12세 이상 관람가,2022년,3.3,https://file.kinolights.com/m/content_poster/202307/12/ae92f07b-3de1-412b-8057-d683eca054e9.webp,넷플릭스
21,"발칙한 MIT천재들의
라스베가스 무너뜨리기

MIT 수학천재들의 라스베가스 무너뜨리기가 시작된다!
MIT 졸업과 동시에 하버드 의대 입학을 앞둔 수학천재 ‘벤’. 그의 뛰어난 수학능력을 탐내는 ‘미키’ 교수는 비밀리에 활동하는 MIT 블랙잭팀에 가입할 것을 권한다. 30만 달러의 등록금이 절실히 필요했던 벤은 결국 유혹을 거절하지 못하고 팀에 가입한다.

“보이는 카드는 과거, 나올 카드는 미래야. 기억력이 중요해”
팀의 리더이자 블랙잭의 허점을 간파한 미키 교수는 최고의 수재들만을 선발해 앞으로 나올 카드와 자신의 승률을 예측할 수 있는 ‘카드 카운팅’ 기술, 그리고 팀의 ‘비밀 암호’를 철저히 훈련시킨다. 신분을 위장하여 주말마다 라스베가스로 날아가 어마어마한 돈을 벌어들이는 MIT 수학천재들. 하지만 호화로운 세계에 빠져 짜릿한 나날을 보내는 것도 잠시. 카드 카운팅을 엄격히 단속하고 있는 카지노측의 베테랑 보안요원 ‘콜’이 이들의 비밀 행각을 눈치채면서 최강의 블랙잭팀은 위기를 맞는데…",드라마,15세 이상 관람가,2008년,3.1,https://file.kinolights.com/m/content_poster/202307/12/47f36909-010d-40f3-b4e5-8c2cef55a2f2.webp,"넷플릭스, 쿠팡플레이"
23 아이덴티티,"23개의 인격을 가진 남자 케빈. 그는 언제 누가 등장할지 모르는 인격들 사이를 오가며 유일하게 자신을 이해하는 플레처 박사에게만 자신의 이야기를 꺼내 놓는다. 어느 날, 케빈은 지금까지 등장한 적 없는 24번째 인격의 지시로 3명의 소녀들을 납치하고 오래도록 계획했던 비밀스러운 일을 꾸민다. 소녀들이 그에게서 도망치려 할수록 케빈의 인격들은 점차 폭주하기 시작하는데…","스릴러, 공포",15세 이상 관람가,2016년,3.3,https://file.kinolights.com/m/content_poster/202307/12/5c77498f-1087-49a4-9d9a-0a3a5a9e48eb.webp,왓챠
24 시즌 1,국제적인 테러사건에 맞서는 테러방지단 C.T.U(Counter Terrorist Unit) 소속의 잭 바우어가 테러를 막기 위해 활약하는 내용을 다룬 드라마.,"드라마, 액션",15세 이상 시청가,2001년,4.2,https://file.kinolights.com/m/content_poster/202307/12/d1ef452b-0eb4-4acd-889f-5faedfa45d21.webp,쿠팡플레이
28일 후,"혼수상태에서 깨어난 짐은 병원, 그리고 런던 전체에 사람이 없다는 걸 알게 된다. 분노 바이러스 확산 28일 후, 이곳엔 대체 무슨 일이 있었던 걸까?","스릴러, 공포",청소년 관람불가,2002년,3.7,https://file.kinolights.com/m/content_poster/202307/12/13b3cf66-5f05-495b-aefa-cdab25c1e6e2.webp,왓챠
28주 후,"인간을 좀비로 만드는 분노 바이러스가 영국을 휩쓸고 지나간 후 6개월이 지난 시점. 미국 군대가 바이러스와의 전쟁을 선언한 뒤 마치 그들이 승리를 거둔 듯해 보인다. 그리고 점차 도시는 질서를 되찾는다. 런던을 떠났던 시민들은 점차 도시로 돌아오고, 헤어졌던 가족은 재회의 기쁨을 나눈다. 하지만, 사실 바이러스는 죽지 않았고, 사람들이 모르는 사이 다시금 도시를 초토화 시키려고 하는데...","스릴러, 공포",청소년 관람불가,2007년,3.3,https://file.kinolights.com/m/content_poster/202307/12/c553895a-fea3-4ffe-8e14-d12f3434d3fc.webp,쿠팡플레이
2번 출구에 승강기를 설치해야 하는 이유,민혁은 입주자 대표회장인 엄마를 대신해 주민 대표회의 진행을 맡는다. 그는 동대표들 앞에서 2번 출구에 승강기를 설치해야 하는 이유에 대해 역설하기 시작한다.,코미디,15세 이상 관람가,2021년,0.0,https://file.kinolights.com/m/content_poster/202503/10/9736e3f7-c455-4260-a13e-70b1fdb505a4.webp,왓챠
